技能ID,名稱,技能類型,需求tpye,needDices,數值,條件文字,效果文字,SelfBuffs,TargetBuffs,(停用)breakDice,生成骰子,出處Tag,Price
1,魔力彈,Attack,SpecificDicesWithRepeat ,1|2|3|3,30,低點數×3 ,30點傷害,,,,,,100
2,雷擊,Attack,SameDices,2,20,相同×2,20點傷害,,,,,,100
3,幸運一擊,Attack,ConsecutiveDices,3,30,連續×3,30點傷害，生成隨機骰子,,,,1|2|3|4|5|6|1,MajoShop,100
4,魔法衝擊,Attack,ConsecutiveDices,3,50,連續×3,50點傷害,,,,,MajoShop,100
5,炎射術,Attack,ConsecutiveDices,4,80,連續×4,80點傷害，魔力衰弱2回合,8:0:2,,,,MajoShop,300
6,詛咒,Buff,SpecificDicesWithRepeat ,1|2|3|3,,低點數×3,敵方魔力衰弱+麻痺3回合,,8:0:3|27:0:3,,,MajoShop,300
7,連續雷擊,Attack,SameDices,2,20,相同×2,20點傷害，生成低點數骰子,,,,1|2|3|1,MajoShop,300
8,魔力操控,Buff,AnyDices,3,,骰子×3,生成萬用骰，魔力增幅3回合, 6:0:3,,,0|1,,100
9,伏特攻擊,Attack,SameDices,3,50,相同×3,40點傷害，敵方麻痺3回合,,27:0:3,,,MajoShop,100
10,轟雷,Attack,SameDices,4,80,相同×4,80點傷害，敵方麻痺3回合,,27:0:3,,,MajoShop,300
11,防禦魔法,Buff,SpecificDicesWithRepeat ,1|2|3|2,,低點數×2,生成魔力護盾，抵擋1次攻擊,14:1:0,,,,MajoShop,100
12,魔力湧動,Buff,SpecificDicesWithRepeat ,4|5|6|3,,高點數×3 ,生成隨機骰子，魔力增幅3回合, 6:0:3,,,1|2|3|4|5|6|1,MajoShop,100
13,回春術,Buff,SpecificDicesWithRepeat ,1|2|3|2,,低點數×2,治癒3回合,16:0:3,,,,MajoShop,100
14,快速回復,Heal,SpecificDicesWithRepeat ,4|5|6|3,50,高點數×3 ,生命+50,,,,,MajoShop,100
15,淤泥炮,Attack,ConsecutiveDices,2,20,連續數字×2,20點傷害，敵方中毒3回合,,1:0:3,,,NoraShop,300
16,荊棘護甲,Attack,SpecificDicesWithRepeat ,1|2|3|2,,低點數×2,尖刺3回合,,,,,NoraShop,300
17,生命之音,Buff,ConsecutiveDices,5,,連續數字×5,敵方定時炸彈3回合,,23:0:3,,,NoraShop,300
18,黑炎,Attack,SameDices,3,40,相同數字×3,40點傷害，敵方燃燒2回合,,24:0:2,,,NoraShop,300
19,美味燒鴨,Attack,AnyDices,1,-10,骰子×1,治癒1回合，敵方生命+10,16:0:1,,,,NoraShop,300
20,火球術,Attack,SpecificDices,1|2|3,60,1・2・3,60點傷害,,,,,NoraShop,300
21,力量增幅,Buff,ConsecutiveDices,2,,連續×2,,,,,,NoraShop,100
22,魔力爪,Attack,SameDices,2,20,相同×2,20點傷害，敵方撕裂1回合,,3:0:1,,,NoraShop,100
23,不屈之心,Buff,SpecificDicesWithRepeat ,1|2,,1・1,生成魔力護盾，抵擋2次攻擊,14:2:0,,,,NoraShop,100
24,魔法劍,Attack,SpecificDicesWithRepeat ,1|3,80,1・1・1,80點傷害，敵方撕裂1回合,,3:0:1,,,NoraShop,300
25,淨化,Heal,SpecificDicesWithRepeat ,2|2,80,2・2,生命+80，移除自身Buff,,,,,NoraShop,300
